,Ref,Title,Organization,Team_Name,Mapped_Team
94,I-354243,SOL~ABAP~srv-prd-solm1_SOL_00 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
96,I-354168,PRD~ABAP~srv-prd-as-3_PRD_30 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
99,I-354017,PRD~ABAP~srv-prd-as-1_PRD_10 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
105,I-353617,PRD~ABAP~srv-prd-as-2_PRD_20 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
106,I-353605,PRD~ABAP~srv-prd-as-4_PRD_40 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
108,I-353602,PRD~ABAP~srv-prd-as-3_PRD_30 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
132,I-348945,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
135,I-348587,PRD~ABAP~srv-prd-as-1_PRD_10 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
150,I-347166,CENTREON : The service Disk-/backup on srv-prd-solm1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
151,I-347165,srv-prd-solm1 : File System Full,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
154,I-346901,JOL~JAVA : Java System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
157,I-346831,JOL~JAVA : Java System not available,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
160,I-346802,srv-prd-solm1 : File System Full,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
167,I-346616,Serveur de rebond inaccessible,Als,[GDC_FR]_SecOps,[GDC_FR]_SecOps
168,I-346582,PRD~ABAP~srv-prd-as-1_PRD_10 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
169,I-346579,PRD~ABAP~srv-prd-as-4_PRD_40 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
170,I-346578,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
171,I-346577,PRD~ABAP~srv-prd-as-3_PRD_30 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
205,I-344686,CENTREON : The host srv-prd-moni..local_central is in state DOWN,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
207,I-344427,CENTREON : The host srv-prd-as-6..local is in state DOWN,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
208,I-344426,CENTREON : The host srv-prd-as-5..local is in state DOWN,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
213,I-344128,CENTREON : The service Load on srv-itg-as-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
214,I-344126,CENTREON : The service Cpu on srv-itg-as-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
215,I-343898,PRD~ABAP : IDoc Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
227,I-343490,PRD~ABAP : IDoc Errors,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
260,I-342358,PAD : ASE Data Space,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
262,I-342226,Alert of type [UICertificate] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
264,I-342188,PRD~ABAP~srv-prd-as-2_PRD_20 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
296,I-341404,PRD~ABAP : High number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
297,I-341403,PRD~ABAP~srv-prd-as-5_PRD_50 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
303,I-341234,PRD~ABAP~srv-prd-as-5_PRD_50 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
305,I-340973,PRD~ABAP~srv-prd-as-3_PRD_30 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
308,I-340622,PRD~ABAP~srv-prd-as-6_PRD_60 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
310,I-340608,DAD : ASE Data Space,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
316,I-339793,PRD~ABAP~srv-prd-as-4_PRD_40 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
319,I-339659,H4P00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
321,I-339655,PRD~ABAP : ABAP System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
323,I-339653,H4P : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
324,I-339652,PRD~ABAP~srv-prd-as-1_PRD_10 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
325,I-339651,PRD~ABAP~Central Service Instance : ABAP Central Service not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
326,I-339650,PRD~ABAP~srv-prd-as-4_PRD_40 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
327,I-339649,PRD~ABAP~srv-prd-as-2_PRD_20 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
328,I-339648,PRD~ABAP~srv-prd-as-3_PRD_30 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
330,I-339501,PRD~ABAP~srv-prd-as-2_PRD_20 : Not Enough Dialog Resources,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
331,I-339500,PRD~ABAP~srv-prd-as-5_PRD_50 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
339,I-339481,PRD~ABAP~srv-prd-as-6_PRD_60 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
341,I-339460,H4P00001 : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
346,I-339455,PRD~ABAP~srv-prd-as-5_PRD_50 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
354,I-339262,PRD~ABAP~srv-prd-as-6_PRD_60 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
371,I-339214,PRD~ABAP~srv-prd-as-1_PRD_10 : Not Enough Dialog Resources,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
447,I-338788,H4P : Restarted Services,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
455,I-338780,H4P00001 : Restarted Services,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
489,I-337300,Lenteurs SAP r̩currentes,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
499,I-337139,CENTREON : The service Cpu on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
509,I-337049,ITG~ABAP~srv-itg-as-1_DEV_00 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
532,I-335816,PRD - dumps MESSAGE_TYPE_X on SAPLCOFW program.,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
535,I-335791,PRD - dumps ITAB_DUPLICATE_KEY g̩n̩r̩s par SCPI_PRD en PRD,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
541,I-335665,PRD - dumps COMMIT_IN_POSTING,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
554,I-335017,CENTREON : The service Disk-C on bastion-windows..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
571,I-333881,PRD~ABAP : Expiring ABAP certificates,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
580,I-333076,H4T00001 : Age of Most Recent Data Backup,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
600,I-331728,H4Q00001 : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
625,I-331179,PRD~ABAP~srv-prd-as-3_PRD_30 : Not Enough Dialog Resources,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
647,I-330711,PRD~ABAP~srv-prd-as-4_PRD_40 : Bad Dialog Response Time,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
648,I-330509,SOL~ABAP~srv-prd-solm1_SOL_00 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
649,I-330284,DAD~JAVA~srv-dev-ads1_DAD_00 : Java instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
650,I-330283,DAD~JAVA : Java System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
674,I-329394,QUA~ABAP~srv-qua-as-1_QUA_00 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
695,I-328589,H4T : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
729,I-327613,DEV~ABAP~srv-dev-as-1_DEV_00 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
776,I-325778,Probleme de certificat,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
788,I-325301,DEV~ABAP : ABAP System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
789,I-325299,H4D : Database Unavailable,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
790,I-325298,H4D00001 : Database Unavailable,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
791,I-325297,DEV~ABAP~srv-dev-as-1_DEV_00 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
797,I-324719,PRD - UPD work process hanging,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
803,I-324665,PRD~ABAP~srv-prd-as-1_PRD_10 : Not Enough Update Resources,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
804,I-324659,PRD~ABAP~srv-prd-as-3_PRD_30 : Not Enough Update Resources,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
816,I-324155,QUA~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
823,I-323897,QUA~ABAP~srv-qua-as-1_QUA_00 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
839,I-322668,CENTREON : The service Cpu on srv-prd-solm1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
850,I-322336,JOL~JAVA~srv-prd-solm1_JOL_02 : Java instance not available,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
854,I-322158,SAP DATAPSHERE BI : Jobs de chargement Delta non lanc̩ depuis hier 9h40.,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
858,I-322076,QUA~ABAP : ABAP System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
860,I-322074,H4Q : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
862,I-322069,CENTREON : The host srv-qua-db-1..local is in state DOWN,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
863,I-322043,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
865,I-321783,QUA~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
872,I-320433,srv-dev-as-1 : SAP Host Agent not running,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
874,I-319957,CENTREON : The host srv-prd-moni2..local-central is in state DOWN,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
878,I-319478,CENTREON : The service Disk-/sybase/SOL on srv-prd-solm1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
888,I-318663,DEV~ABAP : IDoc Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
891,I-318523,ITG~ABAP : IDoc Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
908,I-317314,CENTREON : The service Load on srv-prd-solm1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
913,I-317210,Alert of type [SubaccountCertificate] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
986,I-314809,PRD~ABAP~srv-prd-as-4_PRD_40 : ABAP Instance not available,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
987,I-314808,PRD~ABAP~srv-prd-as-3_PRD_30 : ABAP Instance not available,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
1005,I-314213,JOL~JAVA~Central Service Instance : Java Central Service not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1006,I-314171,SOL~ABAP~srv-prd-solm1_SOL_00 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1041,I-311151,URGENT : probleme perf,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1048,I-310719,JOL : ASE Data Space,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1056,I-310114,srv-prd-cs-1 : SAP Host Agent not running,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1064,I-309850,#NAME?,Als,[GDC_WW]_ITOps - GDU_Infra_1,[GDC_WW]_ITOps - GDU_Infra_1
1068,I-308765,PRD~ABAP~srv-prd-as-5_PRD_50 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1071,I-308762,PRD~ABAP~srv-prd-as-6_PRD_60 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1168,I-302372,QUA~ABAP : High number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1173,I-301373,QUA~ABAP : IDoc Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1198,I-298360,SOL : ASE Data Space,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1200,I-298324,CENTREON : The service Memory on bastion-windows..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1211,I-297507,QUA~ABAP : Expiring ABAP certificates,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1219,I-297486,SOL~ABAP~Central Service Instance : ABAP Central Service not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1225,I-296686,H4T00001 : Database Host Status,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1226,I-296685,H4T00001 : Services Status,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1229,I-296311,JOL : ASE Database available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1232,I-296308,SOL~ABAP~srv-prd-solm1_SOL_00 : ABAP Instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1236,I-296278,CENTREON : The host srv-prd-solm1..local is in state DOWN,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
1263,I-292090,DEV~ABAP~Central Service Instance : ABAP Central Service not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1264,I-292055,Urgent : Probleme de connexion ETNA 01/09,Als,[GDC_WW]_ITOps - GDU_Infra_1,[GDC_WW]_ITOps - GDU_Infra_1
1266,I-291652,SDB00001 : Database Availability,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1267,I-291644,CENTREON : The host srv-qua-cs..local is in state DOWN,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1268,I-291643,CENTREON : The service HTTP-ContentServerRunning on srv-qua-cs..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1271,I-291189,CENTREON : The service HTTP-ContentServerRunning on srv-qua-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1273,I-290927,CENTREON : The host srv-prd-moni1..local-central is in state DOWN,Als,[GDC_WW]_ITOps - GDU_Infra_1,[GDC_WW]_ITOps - GDU_Infra_1
1293,I-287464,CENTREON : The service HTTP-ContentServerRunning on srv-dev-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1295,I-340794,CENTREON : The host fr-aws-sap-poller.novacap.biz_central is in state DOWN,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1296,I-333570,GL200001 : MSSQL Database not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1297,I-328620,SOL~ABAP~AWS-SAPSOL1_SOL_00 : Errors in ABAP System Log,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1298,I-328619,GL100001 : MSSQL Database not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1300,I-356738,CENTREON : The service Memory on aws-sapbwd.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1304,I-353095,CENTREON : The service Nsclient-Port on aws-sapgl1n2.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1305,I-353094,CENTREON : The service Nsclient-Port on aws-sapgl1n1.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1309,I-351900,GL2~ABAP : ABAP System not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1310,I-350562,CENTREON : The service Disk-C on aws-sapgt1.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1313,I-348234,ADP~JAVA~aws-sapadp_ADP_00 : Java instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1314,I-348233,BWP~ABAP~Central Service Instance : ABAP Central Service not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1315,I-348232,ADP~JAVA : Java System not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1316,I-348231,BWP~ABAP~AWS-SAPBWP_BWP_00 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1317,I-348230,ADP~JAVA~Central Service Instance : Java Central Service not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1318,I-348229,BWP~ABAP : ABAP System not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1319,I-348223,CENTREON : The host aws-sapadp.novacap.biz is in state DOWN,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1320,I-348222,CENTREON : The host aws-sapcsp.novacap.biz is in state DOWN,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1321,I-348221,CENTREON : The host aws-sapbwp.novacap.biz is in state DOWN,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1323,I-347452,aws-sapgl2n2 : High CPU Utilization,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1324,I-346822,aws-sapcsp : High CPU Utilization,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1327,I-344917,CENTREON : The service Memory on aws-sapgl1n1.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1333,I-335127,aws-sapcsr : High CPU Utilization,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1402,I-333455,NL0~ABAP~Central Service Instance : ABAP Central Service not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1403,I-333453,NL0~ABAP~AWS-SAPNL0_NL0_00 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1404,I-333452,NL0~ABAP : ABAP System not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1405,I-333451,BWD~ABAP~AWS-SAPBWD_BWD_00 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1406,I-332855,CENTREON : The service Memory on aws-sapadm1.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1407,I-326273,CENTREON : The service Disk-C on aws-sapadm1.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1409,I-326080,BWR~ABAP~AWS-SAPBWR_BWR_00 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1412,I-306035,CENTREON : The service Poller-Delay on fr-aws-sap-poller2.novacap.biz_central is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1413,I-301713,CENTREON : The service Memory on aws-sapgl1n2.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1414,I-300128,NL0~ABAP : Update Processing,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1415,I-297994,GL0~ABAP~AWS-SAPGL0_GL0_00 : Errors in ABAP System Log,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1419,I-291536,CENTREON : The host aws-sapadm1.novacap.biz is in state DOWN,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1427,I-358525,GL2~ABAP : Update Processing,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1432,I-357234,GL2~ABAP~AWS-SAPGL2N1_GL2_20 : Errors in ABAP System Log,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1435,I-356635,aws-sapgl2n1 : High CPU Utilization,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1442,I-354656,GL2~ABAP~AWS-SAPGL2N2_GL2_30 : Errors in ABAP System Log,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1444,I-354615,SDB : Database Availability,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1445,I-354614,SDB : Space Management,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1446,I-354611,CENTREON : The service HTTP-ContentServerRunning on aws-sapcsd.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1449,I-354523,SDB00001 : Space Management,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1454,I-354507,CENTREON : The service HTTP-ContentServerRunning on aws-sapcsr.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1466,I-353881,GL1~ABAP : Update Processing,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1467,I-353880,GL1~ABAP~AWS-SAPGL1N2_GL1_30 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1468,I-353879,GL1~ABAP~AWS-SAPGL1N1_GL1_20 : ABAP Instance not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1483,I-353222,CENTREON : The service Nsclient-Port on aws-sapgrd.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1484,I-353221,CENTREON : The service Nsclient-Port on aws-sapbwd.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1491,I-353203,BWR~ABAP~Central Service Instance : ABAP Central Service not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1495,I-353192,BWR~ABAP : ABAP System not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1503,I-353154,BWR : MSSQL Database not available,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1510,I-353100,CENTREON : The service Nsclient-Port on aws-sapbwr.novacap.biz is in state CRITICAL,Sqs,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
